"SongName","ArtistName","AlbumName"
"Spanish Caravan","The Doors","The Very Best of The Doors"
"Poupee de Cire, Poupee de Son (Serge Gainsbourg Cover)","Arcade Fire","Arcade Fire"
"Immigrant Song (2007 Remastered Single/LP Version)","Led Zeppelin","Mother Ship"
"Psycho Killer (2005 Remastered Album Version )","Talking Heads","Talking Heads 77 [w/Bonus Tracks]"
"Cristálida","Pescado Rabioso","Pescado Rabioso 2"
"Luz Semilla","La Manzana Cromatica Protoplasmatica","El Tren de la Via Láctea"
"Te Recuerdo Amanda","HopPo!","HopPo!"
"Volver A Los 17","HopPo!","HopPo!"
