"SongName","ArtistName","AlbumName"
"Tequila and Chocolate","Medeski Scofield Martin & Wood","Out Louder"
"Night Marchers","Medeski Martin and Wood","Shack-Man"
"Tea","Medeski Martin and Wood","Friday Afternoon in the Universe"
"The Lover","Medeski Martin and Wood","Friday Afternoon in the Universe"
"Miles Behind","Medeski Scofield Martin & Wood","Out Louder"
"Cat Creeps","Medeski Martin and Wood","Let's Go Everywhere"
"On an Airplane","Medeski Martin and Wood","Let's Go Everywhere"
"Pirates Don't Take Baths","Medeski Martin and Wood","Let's Go Everywhere"
"Let's Go Everywhere","Medeski Martin and Wood","Let's Go Everywhere"
"Waking Up","Medeski Martin and Wood","Let's Go Everywhere"
"Let's Go","Medeski Martin and Wood","Let's Go Everywhere"
"The Train Song","Medeski Martin and Wood","Let's Go Everywhere"
"Where's the Music","Medeski Martin and Wood","Let's Go Everywhere"
"Pat a Cake","Medeski Martin and Wood","Let's Go Everywhere"
"Little Walter Rides Again","Medeski Scofield Martin & Wood","Out Louder"
"Legalize It","Medeski Scofield Martin & Wood","Out Louder"
"In Case the World Changes Its Mind","Medeski Scofield Martin & Wood","Out Louder"
