"SongName","ArtistName","AlbumName"
"El río no cambia","Sacro y los De Hielo","No busques a los ciervos"
"Sereno de hotel","Sacro y los De Hielo","No busques a los ciervos"
"Trescientos años","Sacro y los De Hielo","No busques a los ciervos"
"Cazadora","Sacro y los De Hielo","No busques a los ciervos"
"Rotación","Sacro y los De Hielo","No busques a los ciervos"
"Abejas","Sacro y los De Hielo","No busques a los ciervos"
"Ventanas","Sacro y los De Hielo","No busques a los ciervos"
"De Pronto","Sacro y los De Hielo","No busques a los ciervos"
"Ciervo","Sacro y los De Hielo","No busques a los ciervos"
"Sobre tu espalda","Sacro y los De Hielo","No busques a los ciervos"
