"SongName","ArtistName","AlbumName"
"Atolondrón","Flopa Minimal","La piedra en el aire"
"Las momias","Flopa Minimal","La piedra en el aire"
"¿Y cuánto mas tengo que pagar?","Flopa Minimal","La piedra en el aire"
"La máquina de hacer todo mal","Flopa Minimal","La piedra en el aire"
"Este oeste","Flopa Minimal","La piedra en el aire"
"Cosecha de amor","Flopa Minimal","La piedra en el aire"
"Las ruedas que te llevan","Flopa Minimal","La piedra en el aire"
"Escudo","Flopa Minimal","La piedra en el aire"
"Todo lo que ya no sirve","Flopa Minimal","La piedra en el aire"
"Mi cámara","Flopa Minimal","La piedra en el aire"
"Feriado","Flopa Minimal","La piedra en el aire"
"Es invierno","Flopa Minimal","La piedra en el aire"
"¡Así se trabaja!","Flopa Minimal","La piedra en el aire"
