"SongName","ArtistName","AlbumName"
"Ay Ay Ay","Los Piojos","Ritual"
"Chac Tu Chac","Los Piojos","Ritual"
"Jijiji","Patricio Rey y sus Redonditos de Ricota","Oktubre"
"Dos nenas","Viejas Locas","Hermanos de sangre"
"Tarea fina","Patricio Rey y sus Redonditos de Ricota","La mosca y la sopa"
"la bersuit - cuatro ebrios","Bersuit Vergarabat","Libertinaje"
"El terco","La Renga","La Renga"
"Tu eres su seguridad","Almafuerte","Almafuerte"
"Desde el oeste","Almafuerte","Almafuerte"
"A Loa Tambores","Bersuit Vergarabat","Libertinaje"
"Cruel","Los Piojos","Ritual"
"Caminando con las piedras","Viejas Locas","Hermanos de sangre"
"Oxidado","Los Caballeros de la Quema","La paciencia de la araña"
"Huelga de princesas","Los Caballeros de la Quema","La paciencia de la araña"
"Bien alto","La Renga","La Renga"
"Negra es mi alma, negro mi corazón","La Renga","Bailando en una pata"
"Luciendo mi saquito blusero","La Renga","Bailando en una pata"
"Voy a bailar a la nave del olvido","La Renga","Bailando en una pata"
"Cantito popular","La Renga","Bailando en una pata"
"Arco","Los Piojos","Ritual"
"Toxi - Taxi","Patricio Rey y sus Redonditos de Ricota","La mosca y la sopa"
"Gualicho","Patricio Rey y sus Redonditos de Ricota","Último Bondi a Finisterre"
"Hasta estallar","Los Caballeros de la Quema","Perros, perros y perros"
"Somos los mismos de siempre","La Renga","Bailando en una pata"
"Olvídate (ya ves)","Los Piojos","Ritual"
