"SongName","ArtistName","AlbumName"
"Army Of Me","Björk","Björk's Greatest Hits"
"Why","Annie Lllenox","Lenox Avenue Breakdown"
"Alarmala De Tos","Café Tacvba","Avalancha de Éxitos"
"I Want to Break Free","Queen","The Platinum Collection (disc 2: Greatest Hits II)"
"Love Alive","Heart","Dreamboat Annie"
"Hermana sista","Illya Kuryaki and the Valderramas","Chaco"
"Arde","La Portuaria","Me Mata La Vida"
"Women Is Losers","Janis Joplin","The Essential Janis Joplin"
"Crua-Chan","Sumo","Obras Cumbres - CD2"
"Lo quiero ya","Sumo","After Chabón"
