"SongName","ArtistName","AlbumName"
"Confesion","La Manzana Cromatica Protoplasmatica","El Tren de la Via Láctea"
"Río","Nacho y Los Caracoles","Nacho Y Los Caracoles"
"Dejadez","FLOPA MANZA MINIMAL","Flopa Manza Minimal"
"La Franja","La manzana cromatica protoplasmatica","Titiriscopio"
"Detrás de la Ventana","La manzana cromatica protoplasmatica","Titiriscopio"
"Del mismo universo","sambambaia","sambambaia"
"Wayo","sambambaia","sambambaia"
"Rie chinito","Dolores Aguirre y Julia Ortiz","en Cabo Polonio"
"Estación","Julio y Agosto","Julio&Agosto"
"Carmencita (Devendra Banhart Cover)","Alvy Singer Band","en  Centro Cultural Bonpland"
"Todo lo que ya no sirve","Flopa Minimal","La piedra en el aire"
"El paraíso (con Botis Cromático Protoplasmático)","La Filarmónica Cósmica","Tres"
