"SongName","ArtistName","AlbumName"
"Fuerza","Pez","Quemado"
"Nubes toman formas tontas","Pez","Quemado"
"Muralla china","Pez","Quemado"
"Siete","Pez","Quemado"
"(Seco)","Pez","Quemado"
"Lo que cuenta","Pez","Quemado"
"La lucha de los luchadores","Pez","Quemado"
"Serena","Pez","El sol detrás del sol"
"La estetica del resentimiento","Pez","Fragilinvencible"
"La gota","Pez","Fragilinvencible"
"Domando tormentas","Pez","Fragilinvencible"
"Cuero","Pez","El sol detrás del sol"
"Hondo II","Pez","Fragilinvencible"
"Pequeños fracasos","Pez","El sol detrás del sol"
"Tristezas del sur","Pez","El sol detrás del sol"
"Y cuando ya no quede ni un hombre en este lugar","Pez","El sol detrás del sol"
"Campos de inconsciecia","Pez","Fragilinvencible"
"Haciendo real el sueño imposible","Pez","Fragilinvencible"
"El mar de algún lugar","Pez","El sol detrás del sol"
"Supersupersticioso","Pez","Fragilinvencible"
"Telarañas","Pez","Fragilinvencible"
"Y las antenas comunican la paranoia como hormigas","Pez","El sol detrás del sol"
"Malas noticias","Pez","Fragilinvencible"
"Y cuanto más grita menos es escuchado","Pez","Los orfebres"
"Confuso como un héroe","Pez","Los orfebres"
"Existencialismo","Pez","Los orfebres"
"(A Alejandro Jodorowsky)","Pez","Los orfebres"
"Ni discos de Bob","Pez","Los orfebres"
"No mi corazón coraza","Pez","Quemado"
"Ushuaia","Pez","Folklore"
"Por Siempre","Pez","Folklore"
"Respeto","Pez","Folklore"
"Barcos","Pez","Folklore"
"Lo Veras Reir","Pez","Folklore"
"Faltan Miles De Años Mas","Pez","Folklore"
"Aprender, Comprender, Facultarse, Darse Cuenta","Pez","Folklore"
"Cumpleaños","Pez","Folklore"
"Superjuguetes","Pez","Folklore"
"Maldicion","Pez","Folklore"
"Caminar","Pez","Folklore"
"Labrador","Pez","Folklore"
"Difícil de Conseguir","Pez","Hoy"
"20 Dias Sin Dormir","Pez","Folklore"
"La Escuelita Del Señor Extraño","Pez","Folklore"
"Toda La Mañana","Pez","Hoy"
"A Buscar","Pez","Hoy"
"el viaje","Pez","Hoy"
"al espacio","Pez","Hoy"
"rompevientos","Pez","Hoy"
"la sin nombre","Pez","Hoy"
"la verdad","Pez","Hoy"
"tiembla","Pez","Hoy"
"hoy","Pez","Hoy"
"Desde el viento en la montaña hasta la espuma del mar","Pez","El sol detrás del sol"
"Si hay amor que nos venga a salvar","Pez","El sol detrás del sol"
"Después de todo somos eso que ya no se puede ver","Pez","El sol detrás del sol"
"Los orfebres","Pez","Los orfebres"
"Spuistraat 249","Pez","Los orfebres"
"Ultimo acto","Pez","Los orfebres"
"¡Salvajes!","Pez","Los orfebres"
"Hay lo que hay","Pez","Los orfebres"
"Rey, verdugo y esclavo","Pez","Los orfebres"
"Acelera sus latidos corriendo a ningún lado como un toro asustado","Pez","Los orfebres"
"Rompe el Alba","Pez","Cabeza"
"Creo Firmemente en la Reencarnacion y en mi Proxima Vida sere una Hamburguesa con Queso","Pez","Cabeza"
"Cae y Nada Pasa","Pez","Cabeza"
"La Alma de Ana","Pez","Cabeza"
"Refugio","Pez","El Porvenir"
"Quiebran","Pez","El Porvenir"
"Eyéctenlo","Pez","El Porvenir"
"Conciencia","Pez","El Porvenir"
"Saben","Pez","El Porvenir"
"Volverán","Pez","El Porvenir"
"Desconectado","Pez","El Porvenir"
"Tratando","Pez","El Porvenir"
"Sueño","Pez","El Porvenir"
"Sveglia","Pez","Convivencia Sagrada"
"Sol, un fantasma en la ciudad","Pez","Convivencia Sagrada"
"Todo fluye al fin","Pez","Convivencia Sagrada"
"El cantor","Pez","Convivencia Sagrada"
"El haz de luz","Pez","Convivencia Sagrada"
"Vientodestino en vidamar","Pez","Convivencia Sagrada"
"Disfraces","Pez","Convivencia Sagrada"
"Tres preguntas y una sola respuesta","Pez","Convivencia Sagrada"
"Caballo loco","Pez","Convivencia Sagrada"
"Rada","Pez","Convivencia Sagrada"
"Phanton Power","Pez","Fragilinvencible"
"Creo que amamos el dolor","Pez","Fragilinvencible"
"Espiritu inquieto","Pez","Fragilinvencible"
"Lo Que Se Ve No Es Lo Real","Pez","Cabeza"
"Declaración Adivinanza","Pez","Cabeza"
"... Y El Barco Se Llama Ganga Yamuna","Pez","Cabeza"
"Talismán","Pez","Cabeza"
"Cortapescuezos","Pez","Cabeza"
"Pensar En Nada","Pez","Cabeza"
"El Hombre Al Que Nada Perturba","Pez","Cabeza"
"Rompo Tu Piel De Asno","Pez","Cabeza"
"Melodía maldita y la música del orto","Pez","Quemado"
"Queseaelvientoelquenferme","Pez","Quemado"
"¿Rindiéndole cuentas a quién?","Pez","Quemado"
"Aún","Pez","Quemado"
"El agua es eléctrico","Pez","Quemado"
"Pedazo de música para escuchar antes de iniciar un extenso viaje a través de la galaxia a bordo de un barco llamado Ganga Yamuna","Pez","Quemado"
"Introducción declaración adivinanza","Pez","Cabeza"
"Dios no existe","Pez","Cabeza"
"Bettie al desierto","Pez","Hoy"
"Los lados B","Pez","Hoy"
"Melodías sanadoras","Pez","Hoy"
"Mis ideas son murciélagos negros","Pez","Convivencia Sagrada"
"Inédito","PEZ","Cabeza"
"¡Queseyó!","Pez","Convivencia Sagrada"
"De cómo el hombre perdió","Pez","Volviendo a las cavernas"
"Lo interesante es por afuera","Pez","Volviendo a las cavernas"
"¿Y ahora de qué vamos a hablar?","Pez","Volviendo a las cavernas"
"Cavernas","Pez","Volviendo a las cavernas"
"El motivo","Pez","Volviendo a las cavernas"
"Aferrándonos desesperadamente a lo poco bueno que queda","Pez","Volviendo a las cavernas"
"Seremos recuerdo","Pez","Volviendo a las cavernas"
"Confrontación","Pez","Volviendo a las cavernas"
"La última semilla","Pez","Volviendo a las cavernas"
"El idiota","Pez","Volviendo a las cavernas"
"Y por ahí escuché decir que aún existe ese lugar donde todavía hay humanos","Pez","Volviendo a las cavernas"
"Gala","Pez","Fragilinvencible"
"Para Las Almas Sensibles","Pez","Para Las Almas Sensibles [CD01]"
