"SongName","ArtistName","AlbumName"
"Falling Slowly","Glen Hansard & Markéta Irglová","The Swell Season"
"Ella también","Luis Alberto Spinetta","Kamikaze"
"Sonajeros","FLOPA MANZA MINIMAL","Flopa Manza Minimal"
"Hard Sun","Eddie Vedder","Into the Wild"
"Lo primal del viento","Illya Kuryaki and the Valderramas","Unplugged: Ninja mental"
"Cosmic Sidewalks","Les Mentettes Orchestra","Les Mentettes Orchestra"
"Love Love Love","Of Monsters and Men","My Head Is an Animal"
"Fake Plastic Trees","Radiohead","The Bends"
"Es invierno","Flopa Minimal","La piedra en el aire"
