"SongName","ArtistName","AlbumName"
"tu nombre y el mio","Lisandro Aristimuño","Azules Turquezas"
"canción de amor","Lisandro Aristimuño","Azules Turquezas"
"Canción De Amor","Lisandro Aristimuño","Azules Turquesas"
"Sequía de amor","Onda Vaga","Fuerte y caliente"
"Me pega fuerte","Onda Vaga","Fuerte y caliente"
"Cómo que no?","Onda Vaga","Fuerte y caliente"
"Te quiero","Onda Vaga","Fuerte y caliente"
"Ir al baile","Onda Vaga","Fuerte y caliente"
"Rayada","Onda Vaga","Fuerte y caliente"
"Gilda","Onda Vaga","Fuerte y caliente"
"Vaguiseñal","Onda Vaga","Fuerte y caliente"
"Mambeado","Onda Vaga","Fuerte y caliente"
"Azucar del Estero","Lisandro Aristimuño","Las Crónicas del Viento"
"Es todo lo que tengo y es todo lo que hay","Lisandro Aristimuño","Las Crónicas del Viento"
"Me hice cargo de tu luz","Lisandro Aristimuño","39°"
"Mi chica","Los Reyes del Falsete","La Fiesta de la Forma"
"Las cosas como son","Los Reyes del Falsete","La Fiesta de la Forma"
"El gran cohete","Los Reyes del Falsete","La Fiesta de la Forma"
"Ida y vuelta (a plaza)","Los Reyes del Falsete","La Fiesta de la Forma"
"La fiesta de la forma","Los Reyes del Falsete","La Fiesta de la Forma"
"Pacheco","Los Reyes del Falsete","La Fiesta de la Forma"
"Monseñor","Los Reyes del Falsete","La Fiesta de la Forma"
"El telefonista loco","Los Reyes del Falsete","La Fiesta de la Forma"
"La casa","Alvy Singer Big Band","Volumen 1"
"Adiós","Alvy Singer Big Band","Volumen 1"
"Coda","Alvy Singer Big Band","Volumen 1"
"Te dije","Alvy Singer Big Band","Volumen 2: La Elegancia"
"La espera","Alvy Singer Big Band","Volumen 2: La Elegancia"
"El saludo","Alvy Singer Big Band","Volumen 2: La Elegancia"
"La negacion","Alvy Singer Big Band","Volumen 2: La Elegancia"
"Deje a una mujer esperando","Alvy Singer Big Band","Volumen 2: La Elegancia"
"La cabeza rota","Alvy Singer Big Band","Volumen 3: El Corazón Fantasma"
"Y acorralado","Alvy Singer Big Band","Volumen 3: El Corazón Fantasma"
"Contra la corriente","Alvy Singer Big Band","Volumen 3: El Corazón Fantasma"
"Recordando","Alvy Singer Big Band","Volumen 3: El Corazón Fantasma"
"Río","Nacho y Los Caracoles","Nacho Y Los Caracoles"
"Cuatro","Nacho y Los Caracoles","Nacho Y Los Caracoles"
"04.Cántale","Nacho y Los Caracoles","Nacho Y Los Caracoles"
"06.Bossa","Nacho y Los Caracoles","Nacho Y Los Caracoles"
"09.Foxtrot","Nacho y Los Caracoles","Nacho Y Los Caracoles"
"Intuición","La Filarmónica Cósmica","La Filarmónica Cósmica"
"Palomas","La Filarmónica Cósmica","La Filarmónica Cósmica"
"El Puente","La Filarmónica Cósmica","La Filarmónica Cósmica"
"Así","Onda Vaga","Espíritu salvaje"
"Infinito","Onda Vaga","Espíritu salvaje"
"Vayan a ser","Onda Vaga","Espíritu salvaje"
"El Paraiso de los Perros","El Kuelgue","Beatriz"
"gobernador2003@hotmail","El Kuelgue","Beatriz"
"Bossa and People","El Kuelgue","Beatriz"
"Dele Tiempo","El Kuelgue","Beatriz"
"Rucucu Candelmo1","El Kuelgue","Beatriz"
"Angel Caido","El Kuelgue","Beatriz"
"Rucucu Candelmo 2","El Kuelgue","Beatriz"
"El Pepino De La Suerte","El Kuelgue","Beatriz"
"Cartonero de tu corazon","El Kuelgue","Beatriz"
"Piel de Cereza","El Kuelgue","Beatriz"
"Wonderboy","El Kuelgue","Beatriz"
"Para Dvd","El Kuelgue","Beatriz"
"Se va Warnes","El Kuelgue","Beatriz"
"Carece de Sentido","El Kuelgue","Beatriz"
"Me gusta asi","El Kuelgue","Beatriz"
"Don Bosco","La Filarmónica Cósmica","La Filarmónica Cósmica"
"Dame Un Beso","La Filarmónica Cósmica","La Filarmónica Cósmica"
"Las nubes al sol","La Filarmónica Cósmica","El disco del Gnomo"
"Dedos","La Filarmónica Cósmica","El disco del Gnomo"
"Me Dijiste","Nacho y Los Caracoles","Nacho Y Los Caracoles"
"01. el marrano","La Filarmónica Cósmica","El disco del Gnomo"
"02 maría lame kriptonita","La Filarmónica Cósmica","El disco del Gnomo"
"03 ficciones","La Filarmónica Cósmica","El disco del Gnomo"
"06 gary riga","La Filarmónica Cósmica","El disco del Gnomo"
"07 el folklore","La Filarmónica Cósmica","El disco del Gnomo"
"08 mahoma","La Filarmónica Cósmica","El disco del Gnomo"
"09 don bosco","La Filarmónica Cósmica","El disco del Gnomo"
"10 el hechizo de matu","La Filarmónica Cósmica","El disco del Gnomo"
"11 señorita","La Filarmónica Cósmica","El disco del Gnomo"
"12 llamemosmé","La Filarmónica Cósmica","El disco del Gnomo"
"13 hola","La Filarmónica Cósmica","El disco del Gnomo"
"Por donde vayan tus pies","Lisandro Aristimuño","Mundo Anfibio"
"Igual que ayer","Lisandro Aristimuño","Mundo Anfibio"
"How long","Lisandro Aristimuño","Mundo Anfibio"
"Traje de dios","Lisandro Aristimuño","Mundo Anfibio"
"Contale Al Mundo","Los Reyes del Falsete","Dias Nuestros"
"Se Lo Guardo","Los Reyes del Falsete","Dias Nuestros"
"Los Niños (con Litto Nebbia)","Los Reyes del Falsete","Dias Nuestros"
"La Hora Magica","Los Reyes del Falsete","Dias Nuestros"
