"SongName","ArtistName","AlbumName"
"No Me Importa Morir","El Otro Yo","Abrecaminos"
"Mate","Todos Tus Muertos","Dale Aborigen"
"Hombre blanco","Illya Kuryaki and the Valderramas","Chaco"
"Gimme The Power","Molotov","Molotov"
"Bs As Vietnam","Los Caballeros de la Quema","Manos Vacias"
"Masticar","Fun People","adios, adios, dust bunnies"
"Pendeja","Platano Macho","The Perro Convention"
"Ruego","Bersuit Vergarabat","Don Leopardo"
"Trece - TRT","Todos Tus Muertos","Dale Aborigen"
"Andate","Todos Tus Muertos","Subversiones"
