"SongName","ArtistName","AlbumName"
"El arriero","Divididos","La era de la boludez"
"Haciendo cola para nacer","Divididos","Acariciando lo aspero"
"agua en Bs As","Divididos","Otro le travaladna"
"Sister","Divididos",""
"Vengo del placard de otro","Divididos","Vengo del placard de otro"
"Pepe Luí","Divididos","Vengo del placard de otro"
"Clavador de querubín","Divididos","Gol de mujer"
"El fantasio","Divididos","Gol de mujer"
"El gordo legüero","Divididos","Gol de mujer"
"Niño hereje","Divididos","Gol de mujer"
"Brillo triste de un canchero","Divididos","Vengo del placard de otro"
